min_cluster_size,outliers,silhouette,davies_bouldin,meets_criteria,cluster_sizes,representative_words
200,534,0.23212636,0.6374147603308373,False,"[534, 64761, 234]","['invite milkman dutchdrugz marlboro euro genuine cafe code carton word', 'vendor market review mdma empire new order weed best dream', 'mirror working mirrors link pm empire verify main market list']"
300,30746,0.50056744,0.7028834568947654,True,"[30746, 6005, 4460, 4248, 3522, 3171, 2468, 1570, 1535, 1385, 1159, 769, 730, 716, 669, 652, 617, 410, 381, 316]","['mdma lsd vendor looking sale free uk best usa dread', 'market dream empire nightmare wall marketplace street dreammarket exit markets', 'xanax coke cocaine ketamine mg drug pill meth heroin oxycodone', 'bitcoin card bank monero carding wallet paypal credit deposit cash', 'mdma lsd whats fuck sub noen har shit fucking dread', 'review reviews vendor vendymcvendface distillate mdma lsd mg xanax heinekenexpress', 'order package pack delivery ordering shipping shipped cancelled delivered cancel', 'darknet dark web link sentenced darkweb drug arrested prison man', 'vendor buyer lsd good vendors supplier beware selling sell vending', 'weed cannabis marijuana hash quality strain medical cali uk high', 'tried anybody heard used ordered experience recently bought know vouch', 'update maintenance updated upgrade vender updates edit updating dbay jberg', 'account login password locked username hacked log fa privacy security', 'scammer scam exit scammed scamming alert warning possible beware potential', 'ticket support month response deposit reply answered tickets missing double', 'test sample samples free testing result lab reagent ec tested', 'dispute mod moderator resolved mods resolution admin processing disputes response', 'key pgp public keys lost add changed profile verify gpg', 'help need noob question pls newbie answer newb beginner support', 'new vendor products hollandgoodies sale zealand grand product shop juul']"
500,32831,0.53906703,0.6242660477354971,True,"[32831, 5820, 4745, 3927, 3855, 3711, 2705, 2156, 1244, 1232, 1028, 841, 766, 668]","['mdma new vendor lsd sale free help dispute need link', 'market dream empire nightmare marketplace dreammarket markets apollon scam exit', 'bitcoin card bank carding wallet paypal monero credit account deposit', 'review sample samples free mdma vendor mg lsd xanax reviews', 'coke xanax cocaine mg ketamine drug pill oxycodone meth adderall', 'mdma lsd shit fuck whats sub fucking guy noen har', 'order package pack delivery shipping ordering shipped cancelled cancel delivered', 'vendor looking lsd vendors buyer seller good sell supplier selling', 'darknet dark web drug sentenced darkweb prison arrested man police', 'weed cannabis marijuana quality hash strain medical uk cali high', 'tried anybody heard used experience ordered recently bought vouch try', 'scammer scam exit scammed scamming warning alert beware possible potential', 'update maintenance updated upgrade vender updates edit dbay updating jberg', 'ticket support month deposit response reply answered missing tickets double']"
600,33705,0.55160815,0.6092626948267807,True,"[33705, 5832, 4321, 3791, 3690, 3636, 2759, 2267, 1196, 1192, 972, 773, 729, 666]","['mdma new vendor free lsd sale help best pgp uk', 'market dream empire nightmare marketplace dreammarket markets apollon scam exit', 'bitcoin card bank carding wallet paypal credit deposit btc transfer', 'mdma lsd shit fuck whats sub dead fucking guy noen', 'review sample vendor mdma mg free reviews xanax samples lsd', 'coke xanax cocaine mg drug pill ketamine oxycodone adderall pharmacy', 'order package pack delivery shipping shipped ordering cancelled cancel delivered', 'vendor looking seller lsd sell vendors good buyer selling supplier', 'weed cannabis marijuana hash quality strain medical uk cali high', 'darknet dark web drug sentenced darkweb prison arrested man police', 'tried anybody used ordered experience bought recently vouch try heard', 'scammer scam exit scammed scamming warning alert beware possible potential', 'update updated upgrade vender updates edit updating jberg feedback methylamph', 'ticket support month response deposit reply answered missing tickets double']"
1000,37076,0.5815971,0.6366166705550143,False,"[37076, 6639, 6283, 4050, 3620, 3577, 2366, 1918]","['vendor new free mdma help update ticket account dispute lsd', 'weed xanax cocaine coke ketamine mg cannabis drug pill uk', 'market dream empire nightmare darknet dark web vendor marketplace darkweb', 'vendor scammer scam exit scamming looking scammed reliable trusted seller', 'mdma lsd shit fuck whats guy fucking dead going har', 'review vendor mdma mg sample reviews lsd xanax ketamine heinekenexpress', 'card carding bitcoin credit wallet coin debit gift coinbase paypal', 'order package delivery shipping shipped ordering delivered cancelled cancel informed']"
1100,38864,0.61051786,0.5827136288722569,False,"[38864, 6266, 5849, 3612, 3595, 3479, 2014, 1850]","['vendor new free mdma help update ticket account lsd need', 'weed xanax cocaine coke ketamine mg cannabis drug pill uk', 'market dream empire nightmare vendor marketplace scam apollon dreammarket exit', 'mdma lsd shit whats fuck guy fucking har noen got', 'review vendor mg mdma reviews lsd xanax heinekenexpress ketamine sample', 'vendor scammer scam looking reliable exit trusted scamming seller lsd', 'card carding credit wallet bitcoin coin debit coinbase cash currency', 'order package delivery shipping shipped ordering delivered cancelled cancel informed']"
1200,38938,0.60697037,0.5711969705136234,False,"[38938, 6508, 5791, 3803, 3741, 3606, 1790, 1352]","['vendor new help free mdma ticket account update bitcoin need', 'weed xanax cocaine ketamine mg cannabis coke drug pill uk', 'market dream empire nightmare vendor marketplace scam apollon dreammarket exit', 'review vendor mdma mg sample reviews lsd xanax distillate ketamine', 'mdma lsd shit whats fuck guy got fucking har noen', 'vendor scammer looking reliable trusted seller lsd buyer scam good', 'order delivery package shipping shipped ordering delivered cancel cancelled informed', 'card credit wallet carding coin debit coinbase bitcoin currency loan']"
1300,38246,0.53983134,0.6893714731512381,False,"[38246, 6365, 6324, 5757, 3872, 3328, 1637]","['vendor new free help mdma scammer update ticket account need', 'card credit wallet coin bitcoin btc carding cash coinbase cashout', 'weed xanax cocaine ketamine mg cannabis drug pill uk quality', 'market dream empire nightmare vendor marketplace scam apollon dreammarket exit', 'review vendor mdma mg sample reviews feedback lsd xanax distillate', 'vendor looking reliable trusted seller buyer lsd good selling vendors', 'order delivery shipping package shipped ordering delivered ordered arrived time']"
1400,40010,0.5530073,0.653912162303955,False,"[40010, 6120, 5840, 5464, 3847, 2812, 1436]","['vendor new free scammer help mdma coke uk best update', 'wallet credit card coin btc coinbase cash cashout debit exchange', 'market dream empire nightmare vendor marketplace scam apollon dreammarket exit', 'weed xanax ketamine mg cocaine cannabis drug pill meth uk', 'review vendor mdma mg sample reviews lsd feedback xanax distillate', 'vendor looking trusted reliable seller good buyer lsd selling sell', 'order delivery shipping ordering shipped package delivered ordered arrived informed']"
